Risk category and sub-category,Ref.,Question,Risk Scores,Justification

1. Description of the AI Technology,,,"For questions with options, please select one. For Yes/No/Partial questions, select 'Yes' if fully implemented, 'Partial' if in progress or partially implemented, and 'No' if not implemented.",

Model Purpose and Scope,1.1.1,"Does the AI solution have clearly documented business objectives and application scope? (This helps ensure the model's purpose aligns with business needs)
Options: Yes / No / Partial",1,

Development Responsibility,1.1.2,"Is there clear documentation identifying which team developed the AI technology and their expertise? (This establishes accountability and helps verify appropriate skills were applied)
Options: Yes / No / Partial",1,

Target User Documentation,1.1.3,"Are the target users and deployment regions for the AI technology clearly specified? (This ensures alignment with regional regulations and user needs)
Options: Yes / No / Partial",1,

Implementation Architecture,1.1.4,"Is the technical implementation architecture (frameworks, infrastructure, components) fully documented? (This provides transparency into how the model was built)
Options: Yes / No / Partial",1,

Business Context Integration,1.1.5,"Is there documentation showing how the AI technology integrates with existing business processes? (This helps identify operational dependencies and impacts)
Options: Yes / No / Partial",1,

Assumptions and Limitations,,,,

Model Assumptions,1.2.1,"Have all key assumptions made during model development been documented in a table with their implications and justifications? (Example: if using a single data source, the implications of potential information gaps should be documented)
Options: Yes / No / Partial",2,

Data Source Limitations,1.2.2,"Does the model rely on a single source of data/news (like Bloomberg terminal only)? (Single-source dependencies create higher risk of information gaps)
Options: Yes / No / Multiple sources",2,

Model Bias Evaluation,1.2.3,"Has the model been assessed for potential bias toward specific organizations, regions, or languages? (For example: bias toward US-based organizations or English content)
Options: Yes - comprehensive assessment / Yes - limited assessment / No assessment",3,

Geographic Limitations,1.2.4,"Are there documented geographical limitations to the model's effectiveness? (This helps users understand where the model may have reduced performance)
Options: Yes - with mitigation plans / Yes - without mitigation plans / No limitations documented / Not applicable",2,

Limitation Severity,1.2.5,"For identified limitations, has the severity been classified? (Example: a bias toward larger organizations might be classified as Medium severity)
Options: Yes - with mitigating controls / Yes - without mitigating controls / No classification / No limitations identified",2,

Control Framework,1.2.6,"Are controls and guardrails implemented to address identified limitations? (This shows how the organization mitigates known model limitations)
Options: Yes - comprehensive controls / Yes - limited controls / No controls",2,

Limitations Communication,1.2.7,"Is there a process to communicate model limitations to users? (This ensures transparency about what the model can and cannot do reliably)
Options: Yes - formal process / Yes - informal process / No process",2,

Inputs and Data,,,,

Input Inventory,1.3.1,"Is there a complete inventory of all inputs to the AI model, including all data sources and parameters? (This inventory should document everything the model uses to generate outputs)
Options: Yes - comprehensive / Yes - partial / No inventory",2,

Pre-processing Documentation,1.3.2,"Are data pre-processing steps (tokenization, normalization, entity recognition) fully documented? (This shows how raw data is prepared for model use)
Options: Yes - with validation methods / Yes - without validation / No documentation",2,

RAG Implementation,1.3.3,"Does the model use Retrieval-Augmented Generation (RAG) to optimize outputs? (RAG enhances models by retrieving relevant information to improve responses)
Options: Yes - fully implemented / Yes - partially implemented / No - not implemented / Not applicable",2,

Internal Data Source Usage,1.3.4,"Does the model use internal XYZ data sources (Sharepoint, Jira, Gitlab, Confluence)? If yes, are appropriate security controls documented? (This identifies internal data dependencies)
Options: Yes - with security controls / Yes - without security controls / No internal sources used",2,

Feeder Model Dependencies,1.3.5,"Does the model depend on outputs from other AI Models or Agents? (Dependency on multiple models increases complexity and risk)
Options: No dependencies / 1-2 models / 3-5 models / 6+ models",3,

Input Update Frequency,1.3.6,"Is there documentation of how frequently inputs and parameters are updated? (Regular updates help maintain model accuracy)
Options: Yes - with justification / Yes - without justification / No documentation",2,

Input Sensitivity,1.3.7,"Has the model's sensitivity to input variations been tested and documented? (This shows how much output changes with small input changes)
Options: Yes - comprehensive testing / Yes - limited testing / No testing",3,

Expert Judgment Inputs,1.3.8,"Does the model incorporate expert judgments or opaque parameters? (These inputs aren't derived from data and may introduce bias)
Options: Yes - with controls / Yes - without controls / No expert judgments",3,

Input Drift Monitoring,1.3.9,"Is there a system to detect and address input drift? (Input drift occurs when production data differs from training data)
Options: Yes - automated monitoring / Yes - periodic checks / No monitoring",3,

Data Quality Framework,1.3.10,"Is there a framework for measuring and ensuring input data quality? (This helps prevent poor model performance from low-quality data)
Options: Yes - with metrics / Yes - without metrics / No framework",2,

Calibration and Tuning,,,,

Calibration Methodology,1.4.1,"Is there a documented methodology for calibrating model parameters? (Calibration ensures the model performs as expected)
Options: Yes - with validation approach / Yes - without validation / No methodology",2,

Calibration Frequency,1.4.2,"Is the frequency of model calibration specified and justified? (Regular calibration helps maintain model accuracy)
Options: Yes - with justification / Yes - without justification / No specification",2,

External Knowledge Integration,1.4.3,"Is there documentation of how external knowledge is integrated into the model? (This may include RAG, fine-tuning, or other methods)
Options: Yes - with validation / Yes - without validation / No external knowledge / Not applicable",2,

Calibration Validation,1.4.4,"Is there a process to validate calibration effectiveness? (This confirms calibration actually improves model performance)
Options: Yes - with metrics / Yes - without metrics / No validation process",2,

Parameter Sensitivity,1.4.5,"Has sensitivity analysis been conducted for calibrated parameters? (This identifies which parameters most affect outputs)
Options: Yes - comprehensive / Yes - limited / No analysis",3,

Calibration Governance,1.4.6,"Is there governance oversight for calibration activities? (This ensures proper controls around parameter changes)
Options: Yes - formal oversight / Yes - informal oversight / No oversight",2,

Numerical Methods,,,,

Numerical Methodology,1.5.1,"Are the numerical methods used in the model fully documented? (This includes analytical approaches and algorithms)
Options: Yes - with justification / Yes - without justification / No documentation / Not applicable",2,

Non-analytical Methods,1.5.2,"Does the model use non-analytical methods like Monte Carlo Simulations or Finite Difference Methods? (These methods introduce additional complexity)
Options: Yes - extensively / Yes - limited use / No",3,

Numerical Accuracy,1.5.3,"Is there a methodology for validating numerical accuracy? (This ensures calculations are performing as expected)
Options: Yes - with thresholds / Yes - without thresholds / No methodology / Not applicable",2,

Error Management,1.5.4,"Is there a framework for detecting and managing numerical errors? (This prevents error propagation through the model)
Options: Yes - automated / Yes - manual / No framework / Not applicable",2,

